Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.229,1210.118,5.938,1057,0.253
LearningBrain,0.229,1216.742,5.750,1016,0.256
LearningBrain,0.226,1223.272,5.674,1002,0.258
LearningBrain,0.226,1229.965,5.821,1010,0.261
LearningBrain,0.227,1236.609,5.774,1014,0.263
LearningBrain,0.226,1243.127,5.666,1004,0.265
LearningBrain,0.229,1249.794,5.798,1014,0.268
LearningBrain,0.226,1256.534,5.865,1030,0.270
LearningBrain,0.226,1263.171,5.773,1001,0.273
LearningBrain,0.225,1269.851,5.811,1011,0.275
LearningBrain,0.224,1276.563,5.850,1022,0.277
LearningBrain,0.228,1283.217,5.787,1017,0.279
LearningBrain,0.228,1289.982,5.775,1012,0.281
LearningBrain,0.229,1296.674,5.818,1007,0.284
LearningBrain,0.228,1303.323,5.780,1017,0.287
LearningBrain,0.230,1310.102,5.898,1032,0.289
LearningBrain,0.230,1316.855,5.879,1023,0.292
LearningBrain,0.227,1323.438,5.728,1001,0.295
LearningBrain,0.228,1330.067,5.768,1009,0.297
LearningBrain,0.225,1336.814,5.865,1001,0.300
LearningBrain,0.228,1343.523,5.829,1012,0.303
LearningBrain,0.229,1350.164,5.773,1013,0.304
LearningBrain,0.224,1356.990,5.948,1022,0.307
LearningBrain,0.227,1363.558,5.709,1002,0.308
LearningBrain,0.227,1370.150,5.728,1002,0.311
LearningBrain,0.231,1376.686,5.677,1008,0.313
LearningBrain,0.225,1383.288,5.738,1004,0.315
LearningBrain,0.229,1389.970,5.807,1021,0.317
LearningBrain,0.230,1396.507,5.677,1003,0.319
LearningBrain,0.229,1403.065,5.699,1010,0.321
LearningBrain,0.227,1409.706,5.775,1019,0.323
LearningBrain,0.225,1416.342,5.776,1013,0.325
LearningBrain,0.231,1423.063,5.849,1023,0.327
LearningBrain,0.228,1429.765,5.822,1011,0.329
LearningBrain,0.228,1436.299,5.676,1002,0.331
LearningBrain,0.225,1442.869,5.701,1003,0.333
LearningBrain,0.228,1449.558,5.819,1018,0.335
LearningBrain,0.228,1456.117,5.701,1001,0.337
LearningBrain,0.228,1462.700,5.721,1014,0.339
LearningBrain,0.229,1469.343,5.772,1002,0.341
LearningBrain,0.229,1475.959,5.751,1006,0.344
LearningBrain,0.228,1482.639,5.809,1018,0.346
LearningBrain,0.228,1489.252,5.749,1013,0.348
LearningBrain,0.228,1495.805,5.694,1010,0.350
LearningBrain,0.229,1502.393,5.727,1004,0.352
LearningBrain,0.227,1508.979,5.724,1005,0.354
LearningBrain,0.226,1515.606,5.762,1019,0.356
LearningBrain,0.229,1522.168,5.698,1006,0.359
LearningBrain,0.228,1528.721,5.692,1007,0.360
LearningBrain,0.229,1535.257,5.680,1001,0.362
LearningBrain,0.231,1541.921,5.791,1008,0.364
LearningBrain,0.226,1548.554,5.770,1003,0.366
LearningBrain,0.227,1555.225,5.802,1013,0.368
LearningBrain,0.231,1561.868,5.772,1013,0.370
LearningBrain,0.228,1568.659,5.909,1032,0.372
LearningBrain,0.228,1574.983,5.611,1032,0.372
LearningBrain,0.255,1582.087,6.208,1119,0.373
LearningBrain,0.229,1588.313,5.524,1025,0.373
LearningBrain,0.231,1594.571,5.427,1005,0.373
LearningBrain,0.229,1601.226,5.816,1068,0.373
LearningBrain,0.231,1607.586,5.525,1032,0.373
LearningBrain,0.230,1614.206,5.772,1072,0.373
LearningBrain,0.229,1620.659,5.632,1047,0.373
LearningBrain,0.227,1626.741,5.427,1003,0.373
LearningBrain,0.231,1633.271,5.673,1010,0.375
LearningBrain,0.226,1639.873,5.739,1004,0.377
LearningBrain,0.225,1646.459,5.728,1014,0.378
LearningBrain,0.226,1652.959,5.648,1002,0.380
LearningBrain,0.230,1659.580,5.763,1024,0.381
LearningBrain,0.228,1665.997,5.572,1005,0.382
LearningBrain,0.227,1672.585,5.724,1006,0.383
LearningBrain,0.227,1679.211,5.761,1005,0.384
LearningBrain,0.230,1685.838,5.758,1002,0.386
LearningBrain,0.229,1692.523,5.808,1016,0.387
LearningBrain,0.229,1699.090,5.706,1018,0.388
LearningBrain,0.230,1705.710,5.756,1009,0.390
LearningBrain,0.228,1712.362,5.788,1002,0.391
LearningBrain,0.228,1719.196,5.947,1022,0.393
LearningBrain,0.231,1725.824,5.757,1006,0.395
LearningBrain,0.231,1732.513,5.815,1017,0.397
LearningBrain,0.227,1739.127,5.753,1011,0.398
LearningBrain,0.229,1745.635,5.653,1002,0.400
LearningBrain,0.228,1752.340,5.836,1007,0.402
LearningBrain,0.226,1758.998,5.791,1003,0.404
LearningBrain,0.230,1765.552,5.693,1011,0.406
LearningBrain,0.228,1772.202,5.780,1005,0.407
LearningBrain,0.229,1778.964,5.878,1025,0.409
LearningBrain,0.232,1785.549,5.717,1003,0.410
LearningBrain,0.230,1792.147,5.733,1008,0.412
LearningBrain,0.229,1798.740,5.727,1004,0.413
LearningBrain,0.229,1805.407,5.795,1004,0.415
LearningBrain,0.229,1812.153,5.867,1016,0.417
LearningBrain,0.228,1818.893,5.861,1022,0.419
LearningBrain,0.229,1825.488,5.732,1003,0.421
LearningBrain,0.227,1832.132,5.775,1011,0.422
LearningBrain,0.226,1838.793,5.793,1004,0.424
LearningBrain,0.228,1845.493,5.831,1003,0.426
LearningBrain,0.228,1852.134,5.771,1010,0.427
LearningBrain,0.225,1858.786,5.784,1009,0.429
LearningBrain,0.233,1865.424,5.765,1011,0.430
LearningBrain,0.227,1872.131,5.834,1009,0.431
LearningBrain,0.232,1878.881,5.866,1022,0.433
LearningBrain,0.226,1885.484,5.742,1003,0.434
LearningBrain,0.226,1892.266,5.898,1008,0.435
LearningBrain,0.229,1899.090,5.939,1030,0.437
LearningBrain,0.227,1905.885,5.804,1005,0.439
LearningBrain,0.228,1912.438,5.695,1002,0.440
LearningBrain,0.232,1919.131,5.819,1019,0.442
LearningBrain,0.230,1925.727,5.731,1005,0.443
LearningBrain,0.227,1932.329,5.737,1003,0.445
LearningBrain,0.230,1938.943,5.746,1008,0.446
LearningBrain,0.228,1945.464,5.667,1001,0.448
LearningBrain,0.229,1952.008,5.686,1003,0.449
LearningBrain,0.226,1958.660,5.787,1001,0.450
LearningBrain,0.229,1965.319,5.788,1017,0.452
LearningBrain,0.231,1971.837,5.665,1001,0.453
LearningBrain,0.229,1978.506,5.799,1005,0.454
LearningBrain,0.229,1985.236,5.853,1016,0.455
LearningBrain,0.232,1991.881,5.777,1005,0.456
LearningBrain,0.232,1998.635,5.872,1022,0.458
LearningBrain,0.231,2005.342,5.830,1012,0.459
LearningBrain,0.231,2011.914,5.708,1004,0.460
LearningBrain,0.232,2018.625,5.832,1003,0.462
LearningBrain,0.230,2025.353,5.847,1019,0.463
LearningBrain,0.229,2032.057,5.829,1021,0.465
LearningBrain,0.229,2038.652,5.729,1001,0.466
LearningBrain,0.228,2045.215,5.705,1003,0.468
LearningBrain,0.226,2051.860,5.776,1012,0.469
LearningBrain,0.230,2058.555,5.820,1003,0.470
LearningBrain,0.228,2065.171,5.750,1002,0.471
LearningBrain,0.227,2071.836,5.787,1001,0.472
LearningBrain,0.230,2078.597,5.878,1005,0.473
LearningBrain,0.227,2085.163,5.703,1004,0.475
LearningBrain,0.230,2091.748,5.724,1003,0.476
LearningBrain,0.230,2098.454,5.830,1011,0.477
LearningBrain,0.229,2105.079,5.756,1011,0.479
LearningBrain,0.228,2111.755,5.808,1007,0.480
LearningBrain,0.233,2118.409,5.781,1010,0.481
LearningBrain,0.227,2125.043,5.769,1009,0.483
LearningBrain,0.232,2131.807,5.882,1012,0.484
LearningBrain,0.228,2138.433,5.756,1002,0.485
LearningBrain,0.228,2145.124,5.828,1002,0.487
LearningBrain,0.233,2151.784,5.784,1010,0.488
LearningBrain,0.229,2158.439,5.783,1016,0.490
LearningBrain,0.230,2165.263,5.937,1023,0.490
LearningBrain,0.230,2172.019,5.876,1020,0.492
LearningBrain,0.225,2178.657,5.777,1005,0.493
